Source_id,Gaus_id_S,RA_S,E_RA_S,DEC_S,E_DEC_S,Peak_flux_S,E_Peak_flux_S,Total_flux_S,E_Total_flux_S,DC_Maj_S,E_DC_Maj_S,DC_Min_S,E_DC_Min_S,DC_PA_S,E_DC_PA_S,Gaus_id_C,RA_C,E_RA_C,DEC_C,E_DEC_C,Peak_flux_C,E_Peak_flux_C,Total_flux_C,E_Total_flux_C,DC_Maj_C,E_DC_Maj_C,DC_Min_C,E_DC_Min_C,DC_PA_C,E_DC_PA_C,Gaus_id_X,RA_X,E_RA_X,DEC_X,E_DEC_X,Peak_flux_X,E_Peak_flux_X,Total_flux_X,E_Total_flux_X,DC_Maj_X,E_DC_Maj_X,DC_Min_X,E_DC_Min_X,DC_PA_X,E_DC_PA_X,Number of bands,S-band,C-band,X-band,Spectral_index,E_Spectral_index,Upper_limit_spectral_index,Lower_limit_spectral_index,Compactness_S,E_Compactness_S,Compactness_C,E_Compactness_C,Compactness_X,E_Compactness_X,Source_id
0,1,24.34426153,0.00001926093153,15.68518617,0.00001923832468,0.001125450215,0.0001314400767,0.001705633945,0.0001726348572,0.0003345030364,0.00004844550743,0.0002910743789,0.0000419827096,136.6610478,44.86495715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.515512568,0.2342141952,,,,,0
1,4,24.28294288,0.00001352790557,15.87117907,0.00001921546564,0.0004981711071,0.00005056396851,0.0007204976166,0.00006699020313,0.0003856904603,0.00004543187429,0.0001754434025,0.00003159434879,11.49815513,16.44043585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.446285435,0.1990781199,,,,,1
2,5,24.27442116,0.00003855045198,15.77413965,0.00003668967423,0.000131602846,0.00003163413512,0.0001789465489,0.00004220200827,0.0002724535836,0.00009246987063,0.0002493184648,0.00008458580133,94.67768273,150.4810024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.1610461103,0.1958705143,1,0,1.359746801,0.4578916804,,,,,2
3,6,24.26124564,0.00002982632749,15.92765264,0.00006396774076,0.0003335420087,0.00008083937287,0.0006013949248,0.0001029656281,0.0005915556707,0.0001513038259,0.000164146962,0.00006877718228,175.6173311,19.99816982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.803056015,0.5350393314,,,,,3
4,7,24.26078011,0.00003714659204,15.92789908,0.00002749076208,0.0004223106055,0.00008052515857,0.0005765935486,0.0001078516185,0.0004162412678,0.00009684983368,0,0.00004962315168,118.7468834,18.41742871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,,,0,0,1.365330496,0.3646876833,,,,,4
5,8,24.25181088,0.00002276421884,15.75455204,0.00003431652825,0.0001415987025,0.00002730265944,0.0001690828882,0.00003739151371,0,0.00008158320851,0,0.00005242024737,0,27.09127864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.5492240929,0.1836676469,1,0,1.194099135,0.3503469898,,,,,5
6,9,24.23954228,0.00002669316231,15.73970968,0.00001117166153,0.000540593665,0.00002589975206,0.002525171011,0.00005667163454,0.001822103579,0.00006745246525,0.000199926064,0.00000965977628,111.4125076,1.789214623,1,24.23962302,0.00003098840117,15.73965711,0.00001557059435,0.0005711244677,0.00006596602363,0.0008553058801,0.00008465266562,0.0005861477383,0.00007793263733,0,0.00002440947663,110.75071,7.084670501,3,24.23965021,0.00002242243752,15.73963387,0.00001409170702,0.0002145321719,0.00002234805646,0.0003007122717,0.00003297176017,0.000460153821,0.00005510656666,0,0.00002919464388,108.7537196,10.68128864,3,1,1,1,-1.69243152,0.1466613119,,,4.671107293,0.2471287922,1.497582276,0.2277924509,1.401711776,0.2119959524,6
7,10,24.23967614,0.00001358336375,15.73967088,0.00001728746985,0.0001247614894,0.00002314208925,0.00005984010885,0.00003709706838,0,0.00004575519839,0,0.00002422403043,0,17.85620097,1,24.23962302,0.00003098840117,15.73965711,0.00001557059435,0.0005711244677,0.00006596602363,0.0008553058801,0.00008465266562,0.0005861477383,0.00007793263733,0,0.00002440947663,110.75071,7.084670501,3,24.23965021,0.00002242243752,15.73963387,0.00001409170702,0.0002145321719,0.00002234805646,0.0003007122717,0.00003297176017,0.000460153821,0.00005510656666,0,0.00002919464388,108.7537196,10.68128864,3,1,1,1,0.7537604113,1.774296804,,,0.479636057,0.3103686563,1.497582276,0.2277924509,1.401711776,0.2119959524,7
8,11,24.24143809,0.0000279574427,15.73762537,0.00005214549739,0.0001054865742,0.00002693782981,0.0001331244456,0.00003664753214,0,0.0001235542981,0,0.00006439521394,0,25.43913571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.300005704,0.2286368325,1,0,1.262003687,0.4738749995,,,,,8
9,12,24.24197264,0.00004561657536,15.73771944,0.00007896076754,0.00007876897111,0.00002714945502,0.0001204083215,0.00003560918915,0.0004949311288,0.0001940997569,0.00007677058554,0.00009185424546,162.9182946,30.13823538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,-0.2079478669,0.2456206379,1,0,1.528626308,0.6942372038,,,,,9
